trial,side,scheduled_timestamp_utc,actual_onset_timestamp_utc,response_timestamp_utc,RT_seconds,resp_status,scheduled_offset_s,actual_onset_offset_s,response_offset_s
2,left,2025-12-17 11:37:46.834749000,2025-12-17 11:37:46.834749000,2025-12-17 11:37:47.409360000,0.574611,hit,3.999815,3.999815,4.574426
3,right,2025-12-17 11:37:53.838659000,2025-12-17 11:37:53.838659000,2025-12-17 11:37:54.338524000,0.499865,hit,11.003725,11.003725,11.503589999999999
4,right,2025-12-17 11:37:55.835575000,2025-12-17 11:37:55.835575000,2025-12-17 11:37:56.398539000,0.562964,hit,13.000641,13.000641,13.563604999999999
5,left,2025-12-17 11:38:00.833679000,2025-12-17 11:38:00.833679000,2025-12-17 11:38:01.301759000,0.46808,hit,17.998745,17.998745,18.466825
6,left,2025-12-17 11:38:02.836405000,2025-12-17 11:38:02.836405000,2025-12-17 11:38:03.322631000,0.486226,hit,20.001471,20.001471,20.487696999999997
7,right,2025-12-17 11:38:06.836037000,2025-12-17 11:38:06.836037000,2025-12-17 11:38:07.290326000,0.454289,hit,24.001103,24.001103,24.455392
8,right,2025-12-17 11:38:11.834124000,2025-12-17 11:38:11.834124000,2025-12-17 11:38:12.385297000,0.551173,hit,28.99919,28.99919,29.550362999999997
9,left,2025-12-17 11:38:13.836845000,2025-12-17 11:38:13.836845000,2025-12-17 11:38:14.440134000,0.603289,hit,31.001911,31.001911,31.6052
10,left,2025-12-17 11:38:18.834949000,2025-12-17 11:38:18.834949000,2025-12-17 11:38:19.326640000,0.491691,hit,36.000015,36.000015,36.491706
11,right,2025-12-17 11:38:23.838845000,2025-12-17 11:38:23.838845000,2025-12-17 11:38:24.272417000,0.433572,hit,41.003911,41.003911,41.437483
12,right,2025-12-17 11:38:25.835756000,2025-12-17 11:38:25.835756000,2025-12-17 11:38:26.310887000,0.475131,hit,43.000822,43.000822,43.475953
13,left,2025-12-17 11:38:32.836586000,2025-12-17 11:38:32.836586000,2025-12-17 11:38:33.365149000,0.528563,hit,50.001652,50.001652,50.530215
14,right,2025-12-17 11:38:39.837389000,2025-12-17 11:38:39.837389000,2025-12-17 11:38:40.300230000,0.462841,hit,57.002455,57.002455,57.465295999999995
15,left,2025-12-17 11:38:43.837026000,2025-12-17 11:38:43.837026000,2025-12-17 11:38:44.327758000,0.490732,hit,61.002092,61.002092,61.492824
16,right,2025-12-17 11:38:47.836663000,2025-12-17 11:38:47.836663000,2025-12-17 11:38:48.337420000,0.500757,hit,65.001729,65.001729,65.50248599999999
17,left,2025-12-17 11:38:52.834768000,2025-12-17 11:38:52.834768000,2025-12-17 11:38:53.423255000,0.588487,hit,69.999834,69.999834,70.58832100000001
18,left,2025-12-17 11:38:59.835575000,2025-12-17 11:38:59.835575000,2025-12-17 11:39:00.359966000,0.524391,hit,77.000641,77.000641,77.525032
19,left,2025-12-17 11:39:03.835212000,2025-12-17 11:39:03.835212000,2025-12-17 11:39:04.344194999,0.508983,hit,81.000278,81.000278,81.509261
20,right,2025-12-17 11:39:05.837933000,2025-12-17 11:39:05.837933000,2025-12-17 11:39:06.484421000,0.646488,hit,83.002999,83.002999,83.64948700000001
21,left,2025-12-17 11:39:07.834849000,2025-12-17 11:39:07.834849000,2025-12-17 11:39:08.447949000,0.6131,hit,84.999915,84.999915,85.613015
22,right,2025-12-17 11:39:14.835675000,2025-12-17 11:39:14.835675000,2025-12-17 11:39:15.338117000,0.502442,hit,92.000741,92.000741,92.503183
23,right,2025-12-17 11:39:18.835312000,2025-12-17 11:39:18.835312000,2025-12-17 11:39:19.305776000,0.470464,hit,96.000378,96.000378,96.470842
24,right,2025-12-17 11:39:23.839207000,2025-12-17 11:39:23.839207000,2025-12-17 11:39:24.289584000,0.450377,hit,101.004273,101.004273,101.45465
25,left,2025-12-17 11:39:25.836119000,2025-12-17 11:39:25.836119000,2025-12-17 11:39:26.422298000,0.586179,hit,103.001185,103.001185,103.58736400000001
26,right,2025-12-17 11:39:30.834223000,2025-12-17 11:39:30.834223000,2025-12-17 11:39:31.294559000,0.460336,hit,107.999289,107.999289,108.459625
27,right,2025-12-17 11:39:32.831139000,2025-12-17 11:39:32.831139000,2025-12-17 11:39:33.248876000,0.417737,hit,109.996205,109.996205,110.413942
28,right,2025-12-17 11:39:36.836586000,2025-12-17 11:39:36.836586000,2025-12-17 11:39:37.263058000,0.426472,hit,114.001652,114.001652,114.42812400000001
29,left,2025-12-17 11:39:41.834668000,2025-12-17 11:39:41.834668000,2025-12-17 11:39:42.321073000,0.486405,hit,118.999734,118.999734,119.48613900000001
30,right,2025-12-17 11:39:48.835493000,2025-12-17 11:39:48.835493000,2025-12-17 11:39:49.337140000,0.501647,hit,126.000559,126.000559,126.502206
31,left,2025-12-17 11:39:55.836300000,2025-12-17 11:39:55.836300000,2025-12-17 11:39:56.487181000,0.650881,hit,133.001366,133.001366,133.652247
32,left,2025-12-17 11:39:59.835937999,2025-12-17 11:39:59.835937999,2025-12-17 11:40:00.296107000,0.460169,hit,137.001004,137.001004,137.461173
33,right,2025-12-17 11:40:04.834042000,2025-12-17 11:40:04.834042000,2025-12-17 11:40:05.269835000,0.435793,hit,141.999108,141.999108,142.434901
34,right,2025-12-17 11:40:11.834849000,2025-12-17 11:40:11.834849000,2025-12-17 11:40:12.297024000,0.462175,hit,148.999915,148.999915,149.46209
35,left,2025-12-17 11:40:16.832954000,2025-12-17 11:40:16.832954000,2025-12-17 11:40:17.328913000,0.495959,hit,153.99802,153.99802,154.493979
36,left,2025-12-17 11:40:23.833761000,2025-12-17 11:40:23.833761000,2025-12-17 11:40:24.361931999,0.528171,hit,160.998827,160.998827,161.526998
37,left,2025-12-17 11:40:27.839207000,2025-12-17 11:40:27.839207000,2025-12-17 11:40:28.266458000,0.427251,hit,165.004273,165.004273,165.43152400000002
38,right,2025-12-17 11:40:29.836119000,2025-12-17 11:40:29.836119000,2025-12-17 11:40:30.287284000,0.451165,hit,167.001185,167.001185,167.45235
39,right,2025-12-17 11:40:33.835756000,2025-12-17 11:40:33.835756000,2025-12-17 11:40:34.288215000,0.452459,hit,171.000822,171.000822,171.453281
40,left,2025-12-17 11:40:35.838477000,2025-12-17 11:40:35.838477000,2025-12-17 11:40:36.308010000,0.469533,hit,173.003543,173.003543,173.47307600000002
